rank,name,team,role,IP,GS,SV,K,ERA,PROJ
259,Emerson Hancock,SEA,SP,90.0,16,0,64,4.9,97.0
260,Caleb Ferguson,SEA,RP,65.33333333333331,0,0,51,3.5816326530612255,95.0
261,Tanner Gordon,COL,SP,75.33333333333331,15,0,62,6.331858407079648,95.0
262,Yuki Matsui,SD,RP,63.333333333333336,0,1,61,3.9789473684210526,95.0
263,Hunter Dobbins,BOS,SP,61.0,11,0,45,4.131147540983607,95.0
264,Carlos Vargas,SEA,RP,77.0,0,1,54,3.9740259740259742,94.0
265,Cal Quantrill,ATL,SP,117.66666666666667,26,0,85,6.042492917847025,91.0
266,Yoendrys Gómez,CWS,RP,62.66666666666668,9,1,58,5.170212765957446,91.0
267,Kumar Rocker,TEX,SP,64.33333333333331,14,0,56,5.735751295336789,87.0
268,Mitch Spence,OAK,RP,84.66666666666667,8,1,66,5.102362204724409,87.0
269,Hoby Milner,TEX,RP,70.33333333333331,0,0,58,3.8388625592417074,87.0
270,Justin Topa,MIN,RP,60.0,1,4,49,3.9,86.0
271,Zach Eflin,BAL,SP,71.33333333333331,14,0,50,5.929906542056076,85.0
272,Erick Fedde,MIL,SP,141.0,24,0,83,5.48936170212766,79.0
273,Kolby Allard,CLE,RP,65.0,2,0,42,2.6307692307692307,76.0
274,Jackson Rutledge,WSH,RP,73.33333333333331,0,0,65,5.768181818181819,74.0
275,Brenan Hanifee,DET,RP,60.0,0,0,40,3.0,72.0
276,Trevor Williams,WSH,SP,82.66666666666667,17,0,65,6.205645161290322,72.0
277,Osvaldo Bido,OAK,SP,79.66666666666667,10,1,68,5.874476987447698,71.0
278,Tim Hill,NYY,RP,67.0,0,0,37,3.08955223880597,69.0
279,Chase Dollander,COL,SP,98.0,21,0,82,6.520408163265306,63.0
280,Rafael Montero,DET,RP,60.333333333333336,0,0,58,4.475138121546961,61.0
281,Brent Suter,CIN,RP,67.66666666666667,3,0,53,4.522167487684729,59.0
282,Bowden Francis,TOR,SP,64.0,14,0,54,6.046875,59.0
283,Valente Bellozo,MIA,RP,81.33333333333331,6,0,54,4.647540983606558,52.0
284,Jordan Hicks,BOS,RP,67.33333333333331,9,2,58,6.950495049504952,50.0
285,Germán Márquez,COL,SP,126.33333333333331,26,0,83,6.696569920844328,39.0
286,Jack Kochanowicz,LAA,SP,111.0,23,0,72,6.8108108108108105,24.0
287,Antonio Senzatela,COL,SP,130.0,23,0,73,6.6461538461538465,22.0
